==========================================
SLURM_JOB_ID = 567367
SLURM_NODELIST = gnode55
SLURM_JOB_GPUS = 2
==========================================
auto_trainer.py INFO 106: train_conf_name : rm_m4_r1
auto_trainer.py INFO 200: Time for one full iteration is 22.1276 minutes
auto_trainer.py INFO 199: [59/100] At 6 dB, Loss: -0.0177372098 BER: 0.0003600000
auto_trainer.py INFO 200: Time for one full iteration is 22.1509 minutes
auto_trainer.py INFO 199: [60/100] At 6 dB, Loss: -0.0186018627 BER: 0.0001800000
auto_trainer.py INFO 200: Time for one full iteration is 22.1323 minutes
auto_trainer.py INFO 199: [61/100] At 6 dB, Loss: -0.0192772262 BER: 0.0003000000
auto_trainer.py INFO 200: Time for one full iteration is 22.1380 minutes
auto_trainer.py INFO 199: [62/100] At 6 dB, Loss: -0.0159909390 BER: 0.0001800000
auto_trainer.py INFO 200: Time for one full iteration is 22.2113 minutes
auto_trainer.py INFO 199: [63/100] At 6 dB, Loss: -0.0176039636 BER: 0.0002200000
auto_trainer.py INFO 200: Time for one full iteration is 22.1593 minutes
auto_trainer.py INFO 199: [64/100] At 6 dB, Loss: -0.0195246376 BER: 0.0003400000
auto_trainer.py INFO 200: Time for one full iteration is 22.1705 minutes
auto_trainer.py INFO 199: [65/100] At 6 dB, Loss: -0.0173418764 BER: 0.0002800000
auto_trainer.py INFO 200: Time for one full iteration is 22.1686 minutes
auto_trainer.py INFO 199: [66/100] At 6 dB, Loss: -0.0171013717 BER: 0.0001400000
auto_trainer.py INFO 200: Time for one full iteration is 22.1713 minutes
auto_trainer.py INFO 199: [67/100] At 6 dB, Loss: -0.0193570480 BER: 0.0001400000
auto_trainer.py INFO 200: Time for one full iteration is 22.0978 minutes
auto_trainer.py INFO 199: [68/100] At 6 dB, Loss: -0.0190666076 BER: 0.0002600000
auto_trainer.py INFO 200: Time for one full iteration is 22.0900 minutes
auto_trainer.py INFO 199: [69/100] At 6 dB, Loss: -0.0176397283 BER: 0.0002800000
auto_trainer.py INFO 200: Time for one full iteration is 22.1004 minutes
slurmstepd: error: *** JOB 567367 ON gnode55 CANCELLED AT 2022-01-10T10:33:30 ***
